,Name,Discounted Price,Actual Price,Saving,Rating,Reviews,Brand,Core,SSD,Model
0,Apple MacBook Air 13 M1 MGN63 (8GB-256GB),203499.0,258000.0,21% OFF,5,2,Apple,M1,,MacBook Air 13 M1 MGN63
1,Apple Macbook Air 13 MW123 M4 Chip,281999.0,350000.0,19% OFF,4.3,5,Apple,M4,,Macbook Air 13 MW123 M4 Chip
2,ASUS Zenbook 14 UX3405CA Intel Core Ultra 7 255H (16GB-512GB SSD),285999.0,330000.0,13% OFF,,,ASUS,Ultra 7,16GB-512GB SSD,Zenbook 14 UX3405CA Intel Core Ultra 7 255H
3,Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 7 (16GB-512GB),287999.0,340000.0,15% OFF,,,Lenovo,Ultra 7,,ThinkPad E16 Gen 2 - Intel Core Ultra 7
4,Lenovo IdeaPad Slim 3 Ryzen 7 (8GB-512GB),146999.0,175000.0,16% OFF,,,Lenovo,Ryzen 7,,IdeaPad Slim 3 Ryzen 7
5,HP 250 G10 Ci3 N305 (8GB-512GB SSD),115999.0,144999.0,20% OFF,,,HP,,8GB-512GB SSD,250 G10 Ci3 N305
6,Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD) 15.6 FHD,169999.0,249999.0,32% OFF,5,1,Dell,,8GB-256GB SSD,Latitude 3540 Ci5-1335U  15.6 FHD
7,Dell Latitude 15 5540 15.6 Inches 13th Gen Core i7 DOS (8GB - 512GB),343999.0,415000.0,17% OFF,,,Dell,Core i7,,Latitude 15 5540 15.6 Inches 13th Gen Core i7 DOS
8,Dell Latitude 15 3540 15.6 Inches 13th Gen Core i7 DOS (8GB - 512GB),251999.0,320000.0,21% OFF,,,Dell,Core i7,,Latitude 15 3540 15.6 Inches 13th Gen Core i7 DOS
9,Lenovo IdeaPad Slim 3 Core i5 13th Gen,134999.0,174999.0,23% OFF,5,2,Lenovo,Core i5,,IdeaPad Slim 3 Core i5 13th Gen
10,HP Probook 450 G10 Core i5 13th Gen 1335U,179999.0,200000.0,10% OFF,3,1,HP,Core i5,,Probook 450 G10 Core i5 13th Gen 1335U
11,Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i7 (8GB - 512GB),277999.0,300000.0,7% OFF,,,Lenovo,Core i7,,ThinkPad E16 G1 14 Inches 13th Gen Core i7
12,Lenovo LOQ 15  Inches 13th Gen Core i7 (16GB - 512GB),324999.0,380000.0,14% OFF,,,Lenovo,Core i7,,LOQ 15  Inches 13th Gen Core i7
13,HP 15s FQ2653TU 11th Gen  Core i7 (8GB-512GB),160999.0,180000.0,11% OFF,,,HP,Core i7,,15s FQ2653TU 11th Gen  Core i7
14,HP OMEN 16-WD0073dx Ci7-13620H (16GB - 1TB) RTX-4060-8GB,365999.0,390000.0,6% OFF,,,HP,,,OMEN 16-WD0073dx Ci7-13620H  RTX-4060-8GB
15,HP Spectre 16-AA0013dx Ultra 7 155U (16GB 1TB) 16WQXGA,469999.0,520000.0,10% OFF,,,HP,Ultra 7,,Spectre 16-AA0013dx Ultra 7 155U  16WQXGA
16,HP ProBook 460 G11 Notebook PC | Intel® Core™ Ultra 7 Processor 155U (8GB-512GB),251999.0,310000.0,19% OFF,,,HP,Ultra 7,,ProBook 460 G11 Notebook PC | Intel® Core™ Ultra 7 Processor 155U
17,HP OMEN 16-AP0167AX R9-8940HX (16GB - 512GB) RTX-5060-8GB,419999.0,499999.0,16% OFF,,,HP,,,OMEN 16-AP0167AX R9-8940HX  RTX-5060-8GB
18,Lenovo ThinkPad E14 Intel Core Ultra 5 (8GB-512GB),244999.0,295000.0,17% OFF,,,Lenovo,Ultra 5,,ThinkPad E14 Intel Core Ultra 5
19,HP 15-FD0499NIA Ci5-1334U (8GB 512GB SSD),143999.0,180000.0,20% OFF,,,HP,,512GB SSD,15-FD0499NIA Ci5-1334U
20,HP Probook 440 G10 13th Gen Core i5-1335U,187999.0,250000.0,25% OFF,,,HP,Core i5,,Probook 440 G10 13th Gen Core i5-1335U
21,HP Envy 16 H1010TX Gen 13th Core i7,411999.0,450000.0,8% OFF,,,HP,Core i7,,Envy 16 H1010TX Gen 13th Core i7
22,Dell Inspiron 14 7440 2 in 1 Intel Core 5 120U,181999.0,250000.0,27% OFF,,,Dell,,,Inspiron 14 7440 2 in 1 Intel Core 5 120U
23,HP Elitebook 640 G11 Ultra 5 125U,252999.0,280000.0,10% OFF,,,HP,Ultra 5,,Elitebook 640 G11 Ultra 5 125U
24,"HP Spectre 14-EU0000 Ultra 7 (32GB, 2TB SSD) OLED Plus HP PEN",519999.0,550000.0,5% OFF,,,HP,Ultra 7,,Spectre 14-EU0000 Ultra 7  OLED Plus HP PEN
25,Infinix INBOOK Air (XL442) Core i3 1215U (8GB - 256GB),119999.0,129999.0,8% OFF,,,Infinix,Core i3,,INBOOK Air
26,HP 15 FD0361TU Raptor Lake 13th Gen Core i5 1334u,151999.0,,,,,HP,Core i5,,15 FD0361TU Raptor Lake 13th Gen Core i5 1334u
27,HP Probook 450 G10 Raptor Lake 13th Gen Core i5 1334U 8GB-512GB SSD,179999.0,199999.0,10% OFF,,,HP,Core i5,8GB-512GB SSD,Probook 450 G10 Raptor Lake 13th Gen Core i5 1334U 8GB-512GB SSD
28,Acer Nitro V15 13th Gen Core i7-13620H (16GB-512GB SSD),260999.0,289999.0,10% OFF,,,Acer,Core i7,16GB-512GB SSD,Nitro V15 13th Gen Core i7-13620H
29,DELL LATTITUDE 5550 14TH GEN Core Ultra 7 155U (8GB-512GB SSD),359999.0,379999.0,5% OFF,,,DELL,Ultra 7,8GB-512GB SSD,LATTITUDE 5550 14TH GEN Core Ultra 7 155U
30,LENOVO THINKPAD E14 G4 13TH GEN Intel Core I7 1355U (8GB-512GB SSD),267999.0,280000.0,4% OFF,,,LENOVO,,8GB-512GB SSD,THINKPAD E14 G4 13TH GEN Intel Core I7 1355U
31,Lenovo legion 5 14th core i7 14650hx (16GB-1TB) DOS,431999.0,450000.0,4% OFF,,,Lenovo,,,legion 5 14th core i7 14650hx  DOS
32,Dell Latitude 3550 Raptor Lake 13th Gen Core i7 1355U (8GB-512GB SSD),249999.0,304999.0,18% OFF,,,Dell,Core i7,8GB-512GB SSD,Latitude 3550 Raptor Lake 13th Gen Core i7 1355U
33,HP OmniBook 14 FM0013DX Core Ultra 5 226V (16GB-512GB SSD),215999.0,270000.0,20% OFF,,,HP,M0,16GB-512GB SSD,OmniBook 14 FM0013DX Core Ultra 5 226V
34,LENOVO LOQ 15 CI7-14650HX,401999.0,449000.0,10% OFF,,,LENOVO,,,LOQ 15 CI7-14650HX
35,HP OmniBook X Flip 14-FM0023DX Core Ultra 7 256V (16GB-1TB SSD),259999.0,290000.0,10% OFF,,,HP,M0,,OmniBook X Flip 14-FM0023DX Core Ultra 7 256V
36,ASUS TUF GAMING F15-FX507VU Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,319999.0,365000.0,12% OFF,,,ASUS,,16GB-512GB SSD,TUF GAMING F15-FX507VU Ci7-13620H  RTX 4050 6GB
37,Lenovo Legion Pro 7 Ultra 9-275HX (32GB-2TB SSD) RTX 5070Ti 12GB 240Hz,992999.0,1040000.0,5% OFF,,,Lenovo,Ultra 9,,Legion Pro 7 Ultra 9-275HX  RTX 5070Ti 12GB 240Hz
38,ASUS TUF F16 FX608JMR Ci7 14650HX (32GB-1TB SSD) RTX 5060 8GB,444999.0,475000.0,6% OFF,,,ASUS,,,TUF F16 FX608JMR Ci7 14650HX  RTX 5060 8GB
39,Lenovo ThinkBook 16 G7 Ryzen 5-7533HS (16GB-512GB SSD),167999.0,200000.0,16% OFF,,,Lenovo,Ryzen 5,16GB-512GB SSD,ThinkBook 16 G7 Ryzen 5-7533HS
40,Lenovo Legion 5 16IAX10 Core Ultra 9-275HX (32GB-1TB SSD) RTX 5060 8GB,493999.0,550000.0,10% OFF,,,Lenovo,Ultra 9,,Legion 5 16IAX10 Core Ultra 9-275HX  RTX 5060 8GB
